Pays;CODE;Cat;Nom;Fréquence;Altitude;Latitude;Longitude
LF;LFCP;AD;Pons Avy (17);123.5;117;45.5658;-0.513611;
LF;LFGO;AD;Pont Sur Yonne (89);118.175;232;48.2894;3.24889;
LF;LFSP;AD;Pontarlier (25);135.7;2683;46.9083;6.32917;
LF;LFED;AD;Pontivy (56);129.75;406;48.0569;-2.92333;
LF;LFPT;AD;Pontoise Cormeilles (95);121.2;325;49.0967;2.04083;
LF;LFEP;AD;Pouilly Maconge (21);123.5;1413;47.2206;4.56028;
LF;LFKO;AD;Propriano (20);118.5;16;41.6603;8.89389;
LF;LFEQ;AD;Quiberon (56);119.6;38;47.4814;-3.10167;
LF;LFRQ;AD;Quimper Pluguffan (29);118.625;293;47.975;-4.16778;
LF;LFER;AD;Redon Bains sur Oust (35);123.5;225;47.6986;-2.03806;
LF;LFQA;AD;Reims Prunay (51);134.925;313;49.2086;4.15667;
LF;LFRN;AD;Rennes Saint Jacques (35);120.5;124;48.0719;-1.73222;
LF;LFLO;AD;Roanne Renaison (42);120.9;1106;46.0528;3.99972;
LF;LFDN;AD;Rochefort Charente Maritime (17);119.3;60;45.8894;-0.982222;
LF;LFCR;AD;Rodez Aveyron (12);118.125;1910;44.4075;2.48333;
LF;LFHE;AD;Romans Saint Paul (26);118.8;595;45.0647;5.10139;
LF;LFYR;AD;Romorantin Pruniers (41);119.075;289;47.3208;1.68889;
LF;LFOP;AD;Rouen Vallée de Seine (76);120.2;512;49.3908;1.18389;
LF;LFCY;AD;Royans Médis (17);118.8;72;45.6311;-0.975556;
LF;LFRT;AD;Saint Brieuc Armor (22);118.45;452;48.5375;-2.85667;
LF;LFHG;AD;Saint Chamond l'Horme (42);123.5;1307;45.4919;4.53444;
LF;LFPZ;AD;Saint Cyr l'École (78);118.0;373;48.8103;2.07333;
LF;LFGY;AD;Saint Dié Remoneix (88);123.5;1187;48.2664;7.0075;
LF;LFSI;AD;Saint Dizier Robinson (52);134.775;458;48.6336;4.90833;
LF;LFMH;AD;Saint Etienne Bouthéon (42);119.250;1325;45.5342;4.29722;
LF;LFGP;AD;Saint Florentin Cheu (89);123.5;355;47.9814;3.77694;
LF;LFHQ;AD;Saint Flour Coltines (15);120.05;3218;45.075;2.9925;
LF;LFIM;AD;Saint Gaudens Montrejau (31);120.425;1320;43.1075;0.619167;
LF;LFCG;AD;Saint Girons Antichan (09);118.25;1376;43.0078;1.10306;
LF;LFIS;AD;Saint Inglevert les 2 caps (62);123.5;443;50.8825;1.73611;
LF;LFIY;AD;Saint Jean d'Angély Saint Denis du Pin (17);123.5;245;45.9653;-0.524444;
LF;LFBJ;AD;Saint Junien (87);123.5;903;45.9025;0.918889;
LF;LFRZ;AD;Saint Nazaire Montoir (44);118.95;13;47.3106;-2.15667;
